"","nom","pop_density"
"424","Bagira",7891.19223916789
"425","Bunyakiri",98.6647993845181
"426","Ibanda",13572.9959787434
"427","Idjwi",304.394301494444
"428","Kabare",1092.44271033756
"429","Kadutu",19287.640458779
"430","Kalehe",314.473786596325
"431","Kalole",25.3529315537396
"432","Kalonge",142.462351667579
"433","Kamituga",103.467730086128
"434","Kaniola",184.235207126139
"435","Katana",655.350723577269
"436","Kaziba",289.287205826059
"437","Kitutu",53.0583901103373
"438","Lulingu",23.1166178433015
"439","Minova",341.544220470522
"440","Miti Murhesa",722.651452069188
"441","Mubumbano",594.269386797871
"442","Mulungu",16.0759230799651
"443","Mwana",466.604326010076
"444","Mwenga",49.0166822924058
"445","Nyangezi",736.679996924955
"446","Nyantende",2930.27965888669
"447","Shabunda",49.6890591449019
"448","Walungu",1100.06743425272
"449","Fizi",111.935081082766
"450","Haut Plateau",51.8803470243228
"451","Itombwe",21.2639707546737
"452","Kimbi Lulenge",45.2087973986911
"453","Lemera",299.277771675975
"454","Minembwe",63.830044464795
"455","Nundu",137.215191474683
"456","Ruzizi",345.659221644646
"457","Uvira",1265.93122696188
"458","Bangabola",82.0681449663299
"459","Bogosenubea",45.1870859111776
"460","Bokonzi",33.6261971363392
"461","Bominenge",75.9782737798808
"462","Boto",124.723063285235
"463","Budjala",49.3996771043312
"464","Bulu",60.2272360178151
"465","Bwamanda",124.346970859965
"466","Gemena",313.571038883864
"467","Kungu",71.3751315849379
"468","Libenge",33.446824130204
"469","Mawuya",47.6022601566353
"470","Mbaya",68.7529166708507
"471","Ndage",59.744600742964
"472","Tandala",163.127136061134
"473","Zongo",132.246775040275
"474","Bafwagbogbo",5.28740726029841
"475","Bafwasende",7.39380144081809
"476","Banalia",12.1865280667574
"477","Bengamisa",28.7465615408741
"478","Kabondo",254.467755967296
"479","Lowa",5.44226686386825
"480","Lubunga (Tshopo)",166.304620035818
"481","Makiso Kisangani",2612.01303028921
"482","Mangobo",10516.1642779903
"483","Opala",10.3743037064374
"484","Opienge",2.30292722717259
"485","Tshopo",76.6071233037489
"486","Ubundu",10.1448739133478
"487","Wanierukula",18.4384500693934
"488","Yahisuli",40.1964314730937
"489","Yakusu",48.3295062422069
"490","Yaleko",26.8868930877449
"491","Basali",5.95184108061275
"492","Basoko",45.1570552743534
"493","Isangi",69.3498916751799
"494","Yabaondo",53.3023012558845
"495","Yahuma",11.5681865936901
"496","Yalimbongo",19.2193968074395
"497","Befale",13.3009608143578
"498","Boende",30.6791950057729
"499","Djolu",37.5301096350822
"500","Lingomo",21.7723712403696
"501","Mompono",24.6719180426583
"502","Monkoto",6.49131107798566
"503","Wema",8.95361576089812
"504","Bokungu",26.8282210536574
"505","Busanga",22.1829125808746
"506","Ikela",11.9207030543357
"507","Mondombe",30.2703701923472
"508","Yalifafu",16.4700449941689
"509","Ankoro",22.6370324434467
"510","Kabalo",20.5517918605968
"511","Kalemie",33.6025631222506
"512","Kansimba",14.7489164825387
"513","Kiambi",6.84570761390825
"514","Kongolo",44.1920133627831
