"","nom","pop_count"
"293","Lubao",164301.769943335
"294","Ludimbi Lukula",141305.033939396
"295","Mulumba",264419.49841845
"296","Ngandajika",205932.798479563
"297","Tshofa",158326.435191759
"298","Kalenda",214273.598884674
"299","Kamiji",88702.0636450743
"300","Kanda Kanda",188046.970263155
"301","Luputa",320516.935546989
"302","Makota",117230.518217477
"303","Mweneditu",299479.162749067
"304","Wikong",115398.468070929
"305","Dilolo",187071.877818206
"306","Kafakumba",103840.619546638
"307","Kalamba",102941.620030934
"308","Kapanga",173778.281730854
"309","Kasaji",250778.296518045
"310","Sandoa",210829.865960967
"311","Bunkeya",57446.419643412
"312","Dilala",345583.228222048
"313","Fungurume",397394.026918105
"314","Kanzenze",157115.187548325
"315","Lualaba",246137.269349122
"316","Lubudi",95166.4058910328
"317","Manika",403631.860332914
"318","Mutshatsha",32321.1822056156
"319","Banzow Moke",168924.770894738
"320","Inongo",252439.614872888
"321","Kiri",149638.570362532
"322","Mimia",48970.6429125614
"323","Ntandembelo",166952.344383296
"324","Oshwe",259034.997153825
"325","Pendjwa",93987.434989215
"326","Yumbi",181207.269099308
"327","Bokoro",377549.233757258
"328","Bolobo",191313.191789529
"329","Bosobe",173212.521894121
"330","Kwamouth",189887.437552455
"331","Mushie",204182.930507551
"332","Nioki",224373.067042248
"333","Kabambare",100675.59235817
"334","Kampene",182964.110171746
"335","Kasongo",385245.413367619
"336","Kibombo",120871.205906633
"337","Kunda",328180.014491651
"338","Lusangi",153183.101010401
"339","Saramabila",245178.337519239
"340","Tunda",79802.1278826024
"341","Alunguli",89503.6613623159
"342","Kailo",189855.191039959
"343","Kalima",211151.701905312
"344","Kindu",366826.331997836
"345","Pangi",78157.2186326685
"346","Samba",150436.594603561
"347","Ferekeni",60946.4367243508
"348","Lubutu",172286.623360568
"349","Obokote",48212.9268903422
"350","Punia",159406.759999255
"351","Bumba",285812.524290034
"352","Lolo",200257.554336613
"353","Yamaluka",133017.78073415
"354","Yambuku",508635.121009152
"355","Yamongili",183543.72317902
"356","Binga",212293.030070199
"357","Bongandanga",72278.6647136819
"358","Boso Manzi",159699.738446677
"359","Boso Mondanda",140616.794078929
"360","Bosondjo",160948.369964802
"361","Lisala",354997.597935067
"362","Pimu",205040.629816547
"363","Alimbongo",296820.662478323
"364","Beni",428853.658884277
"365","Biena",136159.010172674
"366","Butembo",289377.881656445
"367","Kalunguta",191731.550595345
"368","Kamango",111428.26646979
"369","Katwa",612242.341814758
"370","Kyondo",270343.895203815
"371","Lubero",377506.042787607
"372","Mabalako",197136.159358413
