"","nom","gdp_pc"
"325","Pendjwa",682.131605896269
"326","Yumbi",740.555741447983
"327","Bokoro",668.1645231944
"328","Bolobo",1240.20548487771
"329","Bosobe",669.140941907725
"330","Kwamouth",878.040316174665
"331","Mushie",734.86046203334
"332","Nioki",675.322624718214
"333","Kabambare",651.500345850551
"334","Kampene",675.462773595174
"335","Kasongo",669.132129709684
"336","Kibombo",701.447601855794
"337","Kunda",625.016527935068
"338","Lusangi",555.962072816475
"339","Saramabila",558.741892780011
"340","Tunda",704.162714677538
"341","Alunguli",1358.93619651399
"342","Kailo",896.335016831264
"343","Kalima",685.447921110535
"344","Kindu",1331.47752091762
"345","Pangi",677.500733284926
"346","Samba",616.994172628097
"347","Ferekeni",712.245396542345
"348","Lubutu",662.665708741915
"349","Obokote",665.048530985595
"350","Punia",676.033863571696
"351","Bumba",616.538542467607
"352","Lolo",614.750002399726
"353","Yamaluka",618.278407968593
"354","Yambuku",617.025124929367
"355","Yamongili",611.160364370589
"356","Binga",789.033958672605
"357","Bongandanga",934.316705653451
"358","Boso Manzi",784.454527798836
"359","Boso Mondanda",934.451197991215
"360","Bosondjo",959.6634579649
"361","Lisala",893.630255814795
"362","Pimu",967.131629796807
"363","Alimbongo",720.801306190313
"364","Beni",2126.7359909335
"365","Biena",744.821719113842
"366","Butembo",1812.60843385629
"367","Kalunguta",910.900393358372
"368","Kamango",867.7996906358
"369","Katwa",1657.40766300989
"370","Kyondo",825.486107003528
"371","Lubero",721.059566699776
"372","Mabalako",868.707465603387
"373","Manguredjipa",724.319326086042
"374","Masereka",722.556013240513
"375","Musienene",884.515321072998
"376","Mutwanga",889.335533955002
"377","Oicha",1117.22542361062
"378","Vuhovi",895.810666323035
"379","Bambo",865
"380","Binza",932.541338519878
"381","Birambizo",869.940576958951
"382","Goma",1308.21541560974
"383","Itebero",697.892956125643
"384","Karisimbi",1582.26773945487
"385","Katoyi",933.264241398686
"386","Kayna",733.382583578143
"387","Kibirizi",842.143128837245
"388","Kibua",727.499284857417
"389","Kirotshe",924.919891852603
"390","Masisi",934.763451007857
"391","Mweso",909.445513687418
"392","Nyiragongo",1774.83077051083
"393","Pinga",751.418895449378
"394","Rutshuru",865.335414429226
"395","Rwanguba",958.334157202413
"396","Walikale",687.806283215289
"397","Abuzi",681.851953976589
"398","Bili (Nord-Ubangi)",815.281131878653
"399","Bosobolo",833.374024441398
"400","Businga",702.352046122199
"401","Gbadolite",718.696100142883
"402","Karawa",682.906921976446
"403","Loko",691.632540802752
"404","Mobayi Mbongo",641.027393848976
"405","Wapinda",684.590706769934
"406","Wasolo",682
"407","Yakoma",665.467283493704
"408","Bena Dibele",943.978021007843
"409","Djalo Ndjeka",956.118761153044
"410","Katako Kombe",956.315527225117
"411","Kole",920.675838872108
"412","Lodja",705.999999999999
"413","Lomela",946.016787786701
"414","Lusambo",836.473783378581
"415","Omendjadi",818.840845682508
"416","Ototo",711.123929371492
"417","Tshudi Loto",942.857589974993
"418","Vanga Kete",747.126634848138
"419","Dikungu",949.694714999506
"420","Minga",790.711736475572
"421","Pania Mutombo",849.113749860588
"422","Tshumbe",811.325027652854
"423","Wembo Nyama",929.715201302677
"424","Bagira",1158.35850815806
"425","Bunyakiri",844.729857482467
"426","Ibanda",1464.74415978162
"427","Idjwi",873.425006857602
"428","Kabare",904.366847431413
"429","Kadutu",1282.74485028629
"430","Kalehe",851.630439421376
"431","Kalole",731.103319393499
"432","Kalonge",851.181335178375
"433","Kamituga",862.810140015318
"434","Kaniola",1085.68688017402
"435","Katana",843.446206523721
"436","Kaziba",1253.14356404434
"437","Kitutu",860.19080999238
"438","Lulingu",727.547851559225
"439","Minova",895.579866312614
"440","Miti Murhesa",820.148424720019
"441","Mubumbano",1353.46096170273
"442","Mulungu",735.144816980108
"443","Mwana",1102.6984600281
"444","Mwenga",877.306539307882
"445","Nyangezi",1345.51636569822
"446","Nyantende",1399.48663915195
"447","Shabunda",728.051008350866
"448","Walungu",1235.69412169975
"449","Fizi",1446.90527211507
"450","Haut Plateau",817.092051533515
"451","Itombwe",963.676228728802
"452","Kimbi Lulenge",1293.94404015514
"453","Lemera",852.791692778599
"454","Minembwe",1281.5853207941
"455","Nundu",1404.76828120006
"456","Ruzizi",800.703314913832
"457","Uvira",801.812457079475
"458","Bangabola",674.436631855178
"459","Bogosenubea",496.007168255644
"460","Bokonzi",988.936031739341
"461","Bominenge",504.577738471738
"462","Boto",826.676826217699
"463","Budjala",663.659232503256
"464","Bulu",668.103506132918
"465","Bwamanda",500.489866965695
"466","Gemena",500.456981086142
"467","Kungu",837.290621980019
"468","Libenge",924.220469104488
"469","Mawuya",1182.02282476621
"470","Mbaya",665.184453189646
"471","Ndage",671.240289582153
